,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,Category,Sum
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,,22-04-2021 15:17,,,,,,Studying,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,photo,Studying,negative,0,,Animals,74965
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,photo,Studying,negative,10,,cooking,64756
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,photo,Studying,negative,15,,culture,66579
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,video,Studying,#N/A,#N/A,,dogs,52511
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,GIF,Studying,positive,30,,education,57436
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,video,Studying,neutral,35,,fitness,55323
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,video,Studying,positive,70,,food,66676
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,photo,Studying,#N/A,#N/A,,healthy eating,69339
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,photo,Studying,neutral,35,,public speaking,49264
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04-08-2020 05:05,GIF,Studying,#N/A,#N/A,,science,71168
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,audio,Studying,#N/A,#N/A,,soccer,57783
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,GIF,Studying,negative,15,,technology,68738
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,video,Studying,#N/A,#N/A,,tennis,50339
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,audio,Studying,#N/A,#N/A,,travel,64880
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,GIF,Studying,negative,15,,veganism,49619
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,GIF,Studying,#N/A,#N/A,,,
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,video,Studying,#N/A,#N/A,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,video,Studying,#N/A,#N/A,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22-05-2021 19:44,video,Studying,#N/A,#N/A,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31-01-2021 16:03,GIF,Studying,#N/A,#N/A,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20-11-2020 17:26,GIF,Studying,#N/A,#N/A,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11-04-2021 20:47,video,Studying,#N/A,#N/A,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13-06-2021 16:46,photo,Studying,#N/A,#N/A,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11-04-2021 14:29,photo,Studying,#N/A,#N/A,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02-03-2021 19:21,GIF,Studying,#N/A,#N/A,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-06-2020 18:44,audio,Studying,#N/A,#N/A,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09-05-2021 21:05,GIF,Studying,#N/A,#N/A,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04-08-2020 23:58,GIF,Studying,#N/A,#N/A,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28-08-2020 03:57,photo,Studying,#N/A,#N/A,,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25-08-2020 08:21,video,Studying,#N/A,#N/A,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20-04-2021 23:48,video,Studying,#N/A,#N/A,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07-03-2021 12:40,audio,Studying,#N/A,#N/A,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-05-2021 03:21,video,Studying,#N/A,#N/A,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-01-2021 11:03,audio,Studying,#N/A,#N/A,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09-04-2021 02:46,GIF,Studying,#N/A,#N/A,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,02-02-2021 03:43,photo,Studying,#N/A,#N/A,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,04-02-2021 03:06,GIF,Studying,#N/A,#N/A,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,09-11-2020 02:49,audio,Studying,#N/A,#N/A,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,29-09-2020 16:00,GIF,Studying,#N/A,#N/A,,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,29-11-2020 21:33,audio,Studying,#N/A,#N/A,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13-02-2021 07:54,audio,Studying,#N/A,#N/A,,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,14-07-2020 05:28,photo,Studying,#N/A,#N/A,,,
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,23-08-2020 10:30,photo,Studying,#N/A,#N/A,,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,10-05-2021 09:27,video,Studying,#N/A,#N/A,,,
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,15-03-2021 03:59,GIF,Studying,#N/A,#N/A,,,
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,04-12-2020 20:00,,,,,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25-06-2020 17:01,video,healthy eating,#N/A,#N/A,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13-09-2020 00:11,video,healthy eating,#N/A,#N/A,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 18:17,GIF,healthy eating,#N/A,#N/A,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,11-02-2021 04:53,audio,healthy eating,#N/A,#N/A,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,08-03-2021 10:40,GIF,healthy eating,#N/A,#N/A,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28-03-2021 21:15,video,healthy eating,#N/A,#N/A,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,25-05-2021 01:00,video,healthy eating,#N/A,#N/A,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15-03-2021 12:17,video,healthy eating,#N/A,#N/A,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,05-05-2021 16:26,audio,healthy eating,#N/A,#N/A,,,
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,31-08-2020 00:21,GIF,healthy eating,#N/A,#N/A,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16-06-2021 03:02,audio,healthy eating,#N/A,#N/A,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,07-07-2020 10:52,GIF,healthy eating,#N/A,#N/A,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 07:59,audio,healthy eating,#N/A,#N/A,,,
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23-09-2020 11:15,GIF,healthy eating,#N/A,#N/A,,,
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24-03-2021 05:56,video,healthy eating,#N/A,#N/A,,,
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,,19-03-2021 08:19,,,,,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,07-12-2020 19:13,audio,healthy eating,#N/A,#N/A,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,03-08-2020 16:41,audio,healthy eating,#N/A,#N/A,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10-01-2021 15:36,GIF,healthy eating,#N/A,#N/A,,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,20-09-2020 08:48,photo,healthy eating,#N/A,#N/A,,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,20-07-2020 14:06,photo,healthy eating,#N/A,#N/A,,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24-10-2020 12:15,audio,healthy eating,#N/A,#N/A,,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,06-06-2021 01:27,photo,healthy eating,#N/A,#N/A,,,
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,25-12-2020 00:09,GIF,healthy eating,#N/A,#N/A,,,
